ægilopiné	adj.
ægilopinées	subst.
æolis	subst.
æpyornis	subst.
æsthésiomètre	subst.
æthéogame	adj.
æthéogamie	subst.
ætite	subst.
assa	subst.
assagi	adj.
assagir	verbe
assagissement	subst.
assaillant	subst.
assaillante	subst.
assaillement	subst.
assailli	subst.
assaillie	subst.
assaillir	verbe
assainir	verbe
assainissant	adj.
assainissement	subst.
assaisonnement	subst.
assaisonner	verbe
assaisonneur	subst.
assaki	subst.
assassin	adj.
assassin	subst.
assassinat	subst.
assassiné	adj.
assassine	subst.
assassiné	subst.
assassinée	subst.
assassinement	subst.
assassiner	verbe
assassineur	subst.
assassineuse	subst.
assaut	subst.
assavoir	verbe
asse	subst.
asséant	adj.
asséchant	adj.
assèchement	subst.
assécher	verbe
assécheur	subst.
asséer	verbe
assemblable	adj.
assemblage	subst.
assemblé	adj.
assemblé	subst.
assemblée	subst.
assemblement	subst.
assembler	verbe
assembleur	subst.
assembleuse	subst.
assené	adj.
assénement	subst.
assener	verbe
assentement	subst.
assentiment	subst.
assentir	verbe
asseoiement	subst.
asseoir	verbe
asséritif	adj.
assermenté	adj.
assermenté	subst.
assermenter	verbe
assertif	adj.
assertion	subst.
assertivement	adv.
assertoire	adj.
assertorique	adj.
asservi	adj.
asservir	verbe
asservissant	adj.
asservissement	subst.
asservisseur	adj.
asservisseur	subst.
asservisseuse	subst.
assesseur	subst.
assessoral	adj.
assessorat	subst.
assessorial	adj.
assévératif	adj.
asseyement	subst.
assez	adv.
assibilation	subst.
assibiler	verbe
assidu	adj.
assiduel	adj.
assiduellement	adv.
assiduité	subst.
assidûment	adv.
assiégé	adj.
assiégé	subst.
assiégeant	adj.
assiégeant	subst.
assiégeante	subst.
assiégée	subst.
assiéger	verbe
assiégeur	subst.
assiette	subst.
assiettée	subst.
assignable	adj.
assignat	subst.
assignation	subst.
assigné	adj.
assigné	subst.
assignée	subst.
assigner	verbe
assimilabilité	subst.
assimilable	adj.
assimilant	adj.
assimilateur	adj.
assimilateur	subst.
assimilatif	adj.
assimilation	subst.
assimilatoire	adj.
assimilatrice	subst.
assimilé	adj.
assimilé	subst.
assimiler	verbe
assis	adj.
assise	subst.
assistance	subst.
assistant	subst.
assistante	subst.
assisté	adj.
assisté	subst.
assistée	subst.
assister	verbe
associabilité	subst.
associable	adj.
associatif	adj.
association	subst.
associationisme	subst.
associationiste	adj.
associationiste	subst.
associationnisme	subst.
associationniste	adj.
associationniste	subst.
associativement	adv.
associativité	subst.
associé	adj.
associé	subst.
associée	subst.
associer	verbe
assogue	subst.
assoiement	subst.
assoiffé	adj.
assoiffé	subst.
assoiffée	subst.
assoiffer	verbe
assolé	adj.
assolement	subst.
assoler	verbe
assombrir	verbe
assombrissant	adj.
assombrissement	subst.
assombrisseur	subst.
assommade	subst.
assommage	subst.
assommant	adj.
assommant	subst.
assommante	subst.
assommé	subst.
assommée	subst.
assommement	subst.
assommer	verbe
assommeur	subst.
assommoir	subst.
assomptif	adj.
assomption	subst.
assomptionniste	subst.
assonancé	adj.
assonance	subst.
assonancer	verbe
assonant	adj.
assoner	verbe
assorti	adj.
assortiment	subst.
assortir	verbe
assortissant	adj.
assortissement	subst.
assortisseur	subst.
assortisseuse	subst.
assoté	adj.
assoter	verbe
assoti	adj.
assotir	verbe
assoupi	adj.
assoupi	subst.
assoupie	subst.
assoupir	verbe
assoupissant	adj.
assoupissement	subst.
assoupli	adj.
assouplir	verbe
assouplissant	adj.
assouplissant	subst.
assouplissement	subst.
assourdi	adj.
assourdir	verbe
assourdissant	adj.
assourdissement	subst.
assouvi	adj.
assouvir	verbe
assouvissable	adj.
assouvissance	subst.
assouvissement	subst.
assujetti	adj.
assujetti	subst.
assujettie	subst.
assujettir	verbe
assujettissant	adj.
assujettissement	subst.
assumer	verbe
assurable	adj.
assurance	subst.
assuré	adj.
assuré	subst.
assurée	subst.
assurément	adv.
assurement	subst.
assurer	verbe
assureur	subst.
assyrien	adj.
assyrien	subst.
assyrienne	subst.
astacicole	adj.
astarté	subst.
astartien	adj.
astartien	subst.
astasie	subst.
astate	subst.
astatique	adj.
aste	subst.
aster	subst.
astérales	subst.
astérencriniens	subst.
astéride	adj.
astéride	subst.
astérie	subst.
astérion	subst.
astérisme	subst.
astérisque	subst.
asternal	adj.
astérodactyle	subst.
astéroïde	subst.
astérome	subst.
astéronyme	subst.
astérophides	subst.
astérophore	subst.
astérophylite	subst.
astérophylle	subst.
astérophyllite	subst.
astérophyllitées	subst.
astéroxylon	subst.
asthénie	subst.
asthénique	adj.
asthénope	subst.
astheure	adv.
asthmatique	adj.
asthmé	adj.
asthme	subst.
asti	subst.
astic	subst.
asticot	subst.
asticotage	subst.
asticoter	verbe
asticoteur	subst.
astigmate	adj.
astigmatique	adj.
astigmatisme	subst.
astineux	adj.
astiquage	subst.
astiqué	adj.
astique	subst.
astiquer	verbe
astiqueur	subst.
astragalé	adj.
astragale	subst.
astragalée	subst.
astragalisé	adj.
astragalo-sus-phalangien	adj.
astragalogie	subst.
astragaloïde	adj.
astrakan	subst.
astral	adj.
astrance	subst.
astrantia	subst.
astre	subst.
astrée	subst.
astreignant	adj.
astreindre	verbe
astreinte	subst.
astriction	subst.
astringence	subst.
astringent	adj.
astrobiologie	subst.
astroblastique	adj.
astrochimie	subst.
astrocinétique	adj.
astrocynologie	subst.
astrocytaire	adj.
astrocyte	subst.
astrocytome	subst.
astrographe	subst.
astrographie	subst.
astroïde	adj.
astroïde	subst.
astroïte	subst.
astrolabe	subst.
astrolâtrie	subst.
astrologie	subst.
astrologien	subst.
astrologienne	subst.
astrologique	adj.
astrologiquement	adv.
astrologiser	verbe
astrologue	subst.
astrométrie	subst.
astronaute	subst.
astronautique	adj.
astronautique	subst.
astronome	subst.
astronomie	subst.
astronomique	adj.
astronomiquement	adv.
astrophanomètre	subst.
astrophobie	subst.
astrophysicien	subst.
astrophysique	subst.
astrosphère	subst.
astrostatique	adj.
astrothéologie	subst.
astrotrique	adj.
astructurel	adj.
astuce	subst.
astucieusement	adv.
astucieux	adj.
asturien	adj.
asturien	subst.
astut	adj.
astynome	subst.
asymétrie	subst.
asymétrique	adj.
asymétriquement	adv.
asymptote	subst.
asymptotique	adj.
asymptotiquement	adv.
asynartète	adj.
asynchrone	adj.
asynchronisme	subst.
asyndète	subst.
asynergie	subst.
asynergique	adj.
asyntactique	adj.
asyntaxique	adj.
asystématique	adj.
asystolie	subst.
asystolique	adj.
atabale	subst. masc.
atabeg	subst.
atâbeg	subst.
atabek	subst.
atacamite	subst.
ataghan	subst.
atalenter	verbe
ataraxie	subst.
ataraxique	adj.
ataval	adj.
ataves	subst.
atavique	adj.
atavisme	subst.
atavofigures	subst.
ataxie	subst.
ataxique	adj.
ataxique	subst.
atélectasie	subst.
atelier	subst.
atellane	subst.
atemporalité	subst.
atemporel	adj.
atermoiement	subst.
atermoyer	verbe
atermoyeur	subst.
athanor	subst.
athée	adj.
athée	subst.
athéiser	verbe
athéisme	subst.
athéiste	adj.
athéiste	subst.
athéistique	adj.
athématique	adj.
athématisme	subst.
athénée	subst.
athénien	adj.
athénien	subst.
athénienne	subst.
athermane	adj.
athermique	adj.
athéro-sclérose	subst.
athéromasie	subst.
athéromateux	adj.
athéromatose	subst.
athérome	subst.
athésie	subst.
athétoïde	adj.
athétose	subst.
athétosique	adj.
athlète	subst.
athlète	subst. masc.
athlétique	adj.
athlétique	subst.
athlétiquement	adv.
athlétisme	subst.
athlothète	subst.
athrepsie	subst.
athrepsique	adj.
athymie	subst.
athyréose	subst.
atiger	verbe
atigeur	subst.
atimie	subst.
atinter	verbe
ative	adj.
atlante	adj.
atlante	subst.
atlantide	subst.
atlantique	adj.
atlantique	subst.
atlanto-méditerranéen	subst.
atlas	subst.
atlastique	adj.
atma	subst.
atman	subst.
atmosphère	subst.
atmosphérique	adj.
atoca	subst.
atoll	subst.
atome	subst.
atome-gramme	subst.
atomicien	subst.
atomicité	subst.
atomique	adj.
atomiquement	adv.
atomisation	subst.
atomisé	adj.
atomiser	verbe
atomiseur	subst.
atomisme	subst.
atomiste	adj.
atomiste	subst.
atomistique	adj.
atomistique	subst.
atonal	adj.
atonalisme	subst.
atonaliste	adj.
atonaliste	subst.
atonalité	subst.
atone	adj.
atonicité	subst.
atonie	subst.
atonique	adj.
atour	subst.
atour	subst. masc. (et fém.)
atourné	adj.
atourner	verbe
atout	adv. et prép.
atout	subst.
atoxique	adj.
atrabilaire	adj.
atrabile	subst.
atramentaire	adj.
âtre	adj.
âtre	subst.
atrésie	subst.
atrésique	adj.
atrétélytrie	subst.
atrétentérie	subst.
atrétique	adj.
atrétoblépharie	subst.
atrétocéphalie	subst.
atrétocormie	subst.
atrétocysie	subst.
atrétocystie	subst.
atrétogastrie	subst.
atrétolémie	subst.
atrétométrie	subst.
atrétopsie	subst.
atrétorrhinie	subst.
atrétostomie	subst.
atréturétrie	subst.
atricaude	adj.
atrium	subst.
atroce	adj.
atrocement	adv.
atrocéphale	adj.
atrocité	subst.
atropa	subst.
atrope	subst.
atrophiant	adj.
atrophié	adj.
atrophie	subst.
atrophié	subst.
atrophiée	subst.
atrophier	verbe
atrophique	adj.
atrophique	subst.
atropine	subst.
atropinisé	adj.
atropos	subst.
atroptère	adj.
atrouver	verbe
attablé	adj.
attablé	subst.
attablée	subst.
attablement	subst.
attabler	verbe
attachant	adj.
attaché	adj.
attache	subst.
attaché	subst.
attachée	subst.
attachement	subst.
attacher	verbe
attacheur	subst.
attacheuse	subst.
attacus	subst.
attaquabilité	subst.
attaquable	adj.
attaquant	adj.
attaquant	subst.
attaquante	subst.
attaqué	adj.
attaque	subst.
attaquer	verbe
attaqueur	subst.
attardé	adj.
attardé	subst.
attardée	subst.
attardement	subst.
attarder	verbe
atte	subst.
atteignable	adj.
atteindre	verbe
atteint	adj.
atteinte	subst.
attelable	adj.
attelage	subst.
attelé	adj.
attelée	subst.
attèlement	subst.
atteler	verbe
attelle	subst.
attemprance	subst.
attenances	subst.
attenant	adj.
attendant	adj.
attendre	verbe
attendri	adj.
attendri	subst.
attendrie	subst.
attendrir	verbe
attendrissable	adj.
attendrissant	adj.
attendrissement	subst.
attendu	adj.
attendu	prép.
attendu	subst.
attenir	verbe
attentat	subst.
attentatoire	adj.
attentatoirement	adv.
attente	subst.
attenter	verbe
attentif	adj.
attention	subst.
attentionné	adj.
attentionnel	adj.
attentionner	verbe
attentionneux	adj.
attentisme	subst.
attentiste	adj.
attentiste	subst.
attentivement	adv.
atténuance	subst.
atténuant	adj.
atténuation	subst.
atténué	adj.
atténuement	subst.
atténuer	verbe
atténuissement	subst.
attérage	subst.
attérer	verbe
atterrage	subst.
atterrant	adj.
atterrement	subst.
atterrer	verbe
atterri	adj.
atterrir	verbe
atterrissage	subst.
atterrissement	subst.
attérrisseur	adj.
attérrisseur	subst.
attestateur	adj.
attestation	subst.
attester	verbe
atticisme	subst.
atticiste	subst.
atticurge	adj.
attiédi	adj.
attiédir	verbe
attiédissement	subst.
attifage	subst.
attifé	adj.
attifement	subst.
attifer	verbe
attifet	subst.
attifeur	subst.
attifeuse	subst.
attifiaux	subst.
attiger	verbe
attigeur	subst.
attignole	subst.
attingent	adj.
attingible	adj.
attique	adj.
attiquement	adv.
attirable	adj.
attirail	subst.
attirance	subst.
attirant	adj.
attirement	subst.
attirer	verbe
attisée	subst.
attiser	verbe
attiseur	subst.
attitré	adj.
attitrer	verbe
attitude	subst.
attorney	subst.
attouchement	subst.
attoucher	verbe
attractif	adj.
attractif	subst.
attraction	subst.
attractionnaire	adj.
attractionnaire	subst.
attractionniste	adj.
attractionniste	subst.
attractrice	subst.
attraire	verbe
attrait	subst.
attrapable	adj.
attrapade	subst.
attrapage	subst.
attrapé	adj.
attrape	subst.
attrape-gogo	subst.
attrape-gogos	subst.
attrape-mouche	subst.
attrape-mouches	subst.
attrape-nigaud	subst.
attraper	verbe
attrapeur	subst.
attrapeuse	subst.
attrapoire	subst.
attrayant	adj.
attrempé	adj.
attremper	verbe
attribuable	adj.
attribuer	verbe
attribut	subst.
attributaire	adj.
attributaire	subst.
attributif	adj.
attribution	subst.
attristant	adj.
attristé	adj.
attristement	subst.
attrister	verbe
attrition	subst.
attroupé	adj.
attroupement	subst.
attrouper	verbe
atypique	adj.
au	art. contr.
au	art. contr..
au-deçà	adv.
au-dedans	adv.
au-dehors	adv.
au-delà	adv.
au-dessous	adv.
au-devant	adj.
au-devant	subst.
au_reste	adv.
aubade	subst.
aubader	verbe
aubage	subst.
aubain	adj.
aubain	subst.
aubaine	subst.
aube	subst.
aubépin	subst.
aubépine	subst.
aubépinier	subst.
aubère	adj.
auberge	subst.
auberger	verbe
aubergerie	subst.
aubergine	adj.
aubergine	subst.
aubergiste	subst.
auberon	subst.
aubert	subst.
aubète	subst.
aubette	subst.
aubier	subst.
aubifoin	subst.
aubignet	subst.
aubin	subst.
aubiner	verbe
aubours	subst.
aubriéta	subst.
aubriétia	subst.
aubriétie	subst.
auburn	adj.
aubusson	subst.
aucuba	subst.
aucube	subst.
aucun	adj.
aucun	adj. et pron. indéf.
aucun	adj. indéf.
aucun	adj., pron. et nom. indéf.
aucun	nom.
aucun	nom. indéf.
aucun	pron.
aucun	pron. indéf.
aucunefois	adv.
aucunement	adv.
audace	subst.
audacieusement	adv.
audacieux	adj.
aude	adj.
auder	verbe
audevant	subst.
audibilité	subst.
audible	adj.
audible	subst.
audience	subst.
audiencier	adj.
audiencier	subst.
audiencière	subst.
audiendi	subst.
audimètre	subst.
audio-visuel	adj.
audiomètre	subst.
audion	subst.
audiophone	subst.
audiphone	subst.
auditeur	subst.
auditif	adj.
auditif	subst.
audition	subst.
auditionner	verbe
auditive	subst.
auditoire	subst.
auditorat	subst.
auditorium	subst.
auditrice	subst.
auge	subst.
augée	subst.
auget	subst.
augette	subst.
augien	subst.
augite	subst.
augment	subst.
augmentable	adj.
augmentateur	subst.
augmentatif	adj.
augmentatif	subst.
augmentation	subst.
augmentatrice	subst.
augmenté	adj.
augmenter	verbe
augur	subst.
augural	adj.
auguralement	adv.
augurat	subst.
augure	subst.
augurer	verbe
augustal	adj.
augustat	subst.
auguste	adj.
auguste	subst.
augustement	adv.
augustin	adj.
augustin	subst.
augustine	subst.
augustinianisme	subst.
augustinien	adj.
augustinien	subst.
augustinienne	subst.
augustinisme	subst.
aujourd'hui	adj.
aujourd'hui	adv.
aula	subst.
aulacode	subst.
aulétride	subst.
aulique	adj.
aulique	subst.
aulnage	subst.
aulnaie	subst.
aulne	subst.
aulnette	subst.
aulnoi	subst.
aumaille	adj.
aumaille	subst.
aumône	subst.
aumôner	verbe
aumônerie	subst.
aumônier	adj.
aumônier	subst.
aumônier	subst. masc. et adj.
aumônière	subst.
aumônieux	adj.
aumusse	subst.
aunage	subst.
aunaie	subst.
aune	subst.
aunée	subst.
auner	verbe
auneur	subst.
auparavant	adv.
auprès	adv.
aura	subst.
aure	subst.
auréolaire	adj.
auréolé	adj.
auréole	subst.
auréoler	verbe
auréomycine	subst.
aurichalque	subst.
auriculaire	adj.
auriculaire	subst.
auricule	subst.
aurifère	adj.
aurification	subst.
aurifier	verbe
auriflu	adj.
aurige	subst.
aurignacien	adj.
aurignacien	subst.
aurique	adj.
aurique	subst.
auriste	adj.
auriste	subst.
aurochs	subst.
aurone	subst.
auroral	adj.
aurore	subst.
auscultateur	subst.
auscultation	subst.
auscultatoire	adj.
ausculté	adj.
ausculter	verbe
ausculteur	subst.
äuser	verbe
ausonien	adj.
ausonien	subst.
ausonienne	subst.
auspice	subst.
aussi	adv.
aussibien	adv.
aussière	subst.
aussitôt	adv.
austénite	subst.
auster	subst.
austère	adj.
austèrement	adv.
austérement	adv.
austérité	subst.
austral	adj.
australien	adj.
australien	subst.
australienne	subst.
australoïde	adj.
australopithèque	subst.
austrasien	adj.
austrin	adj.
austro-hongrois	adj.
austro-mélanésiens	subst.
austronésien	adj.
austrophile	adj.
austrophile	subst.
autan	subst.
autant	adv.
autarchie	subst.
autarcie	subst.
autarcique	adj.
autel	subst.
auteur	subst.
auteuresse	subst.
authenticité	subst.
authentification	subst.
authentifier	verbe
authentique	adj.
authentique	subst.
authentiquement	adv.
authentiquer	verbe
authoresse	subst.
autisme	subst.
autiste	adj.
autiste	subst.
autistique	adj.
auto-accusateur	subst.
auto-accusation	subst.
auto-allumage	subst.
auto-analyse	subst.
auto-analyste	subst.
auto-analytique	adj.
auto-canon	subst.
auto-consommation	subst.
auto-consommée	adj.
auto-correction	subst.
auto-critique	adj.
auto-défense	subst.
auto-destructeur	adj.
auto-destruction	subst.
auto-détermination	subst.
auto-discipline	subst.
auto-fécondation	subst.
auto-gestion	subst.
auto-greffe	subst.
auto-intoxication	subst.
auto-mitrailleuse	subst.
auto-moteur	adj.
auto-motrice	subst.
auto-mutilation	subst.
auto-portrait	subst.
auto-position	subst.
auto-propulsé	adj.
auto-punition	subst.
auto-référentiel	adj.
auto-régulation	subst.
auto-reproductible	adj.
auto-reproduction	subst.
auto-stabilisant	adj.
auto-stop	subst.
auto-suggestion	subst.
auto-taxi	subst.
auto-toxine	subst.
auto-vaccin	subst.
autoaccusateur	subst.
autoaccusation	subst.
autobiographe	subst.
autobiographie	subst.
autobiographique	adj.
autobus	subst.
autocanon	subst.
autocar	subst.
autocatalyse	subst.
autocéphale	adj.
autocéphale	subst.
autochrome	adj.
autochrome	subst.
autochtone	adj.
autochtonie	subst.
autoclave	adj.
autoclave	subst.
autocommutateur	subst.
autoconsommation	subst.
autocrate	subst.
autocratie	subst.
autocratique	adj.
autocratiquement	adv.
autocratiser	verbe
autocratisme	subst.
autocrator	subst.
autocratrice	subst.
autocritique	adj.
autocritique	subst.
autodafé	subst.
autodestructeur	adj.
autodestructif	adj.
autodétermination	subst.
autodidacte	adj.
autodidacte	subst.
autodidactique	adj.
autodidactisme	subst.
autodrome	subst.
autofécondation	subst.
autoféconder	verbe
autofinancement	subst.
autofinancer	verbe
autogamie	subst.
autogène	adj.
autogénéité	subst.
autogéré	adj.
autogestion	subst.
autogire	subst.
autographe	adj.
autographe	subst.
autographié	adj.
autographie	subst.
autographier	verbe
autographile	adj.
autographile	subst.
autographique	adj.
autographomane	subst.
autogreffe	subst.
autoguidage	subst.
autoguidé	adj.
autohémothérapie	subst.
autohémothérapique	adj.
autolâtre	adj.
autolâtre	subst.
autolâtrie	subst.
autolysé	adj.
autolyse	subst.
autolyser	verbe
autolytique	adj.
automate	adj.
automaté	adj.
automate	subst.
automaticité	subst.
automatie	subst.
automation	subst.
automatique	adj.
automatique	subst.
automatiquement	adv.
automatisable	adj.
automatisation	subst.
automatiser	verbe
automatisme	subst.
automatiste	subst.
automédon	subst.
automitrailleuse	subst.
automnal	adj.
automne	subst.
automobile	adj.
automobile	subst.
automobilisable	adj.
automobilisme	subst.
automobiliste	subst.
automorphe	adj.
automorphie	subst.
automorphique	adj.
automorphisme	subst.
automoteur	adj.
automoteur	subst.
automotrice	subst.
automutilation	subst.
auton	subst.
autonastie	subst.
autonome	adj.
autonomie	subst.
autonomisme	subst.
autonomiste	adj.
autonomiste	subst.
autonyme	adj.
autonymie	subst.
autonymique	subst.
autophagie	subst.
autoplastique	adj.
autopompe	subst.
autopont	subst.
autoportant	adj.
autoportant	subst.
autoportante	subst.
autoporteur	adj.
autoporteur	subst.
autoporteuse	subst.
autoportrait	subst.
autoposition	subst.
autopropulsé	adj.
autopsie	subst.
autopsier	verbe
autopsiste	subst.
autopunition	subst.
autorail	subst.
autorégulation	subst.
autoreproducteur	adj.
autorisable	adj.
autorisation	subst.
autorisé	adj.
autoriser	verbe
autoritaire	adj.
autoritaire	subst.
autoritairement	adv.
autoritarisme	subst.
autoritariste	subst.
autoritatif	adj.
autorité	subst.
autoroute	subst.
autoroutier	adj.
autosome	subst.
autostoppeur	subst.
autostoppeuse	subst.
autostrade	subst.
autosuggéré	adj.
autosuggestion	subst.
autothèque	subst.
autotoxine	subst.
autour	adv.
autour	subst.
autour_de	loc. adv.
autourserie	subst.
autoursier	subst.
autre	adj.
autre	adj. et pron. indéf.
autre	adj. indéf. et pron. indéf.
autre	pron.
autre	subst.
autrefois	adv.
autrement	adv.
autrepart	adv.
autrichien	adj.
autrichien	subst.
autrichienne	subst.
autruche	subst.
autruchon	subst.
autrui	pron. indéf.
autrui	subst.
auvent	subst.
auvergnat	adj.
auvergnat	subst.
auvernat	subst.
auverpin	subst.
auxiliaire	adj.
auxiliaire	subst.
auxiliairement	adv.
auxiliariat	subst.
auxiliateur	adj.
auxine	subst.
auxinique	adj.
auxochrome	subst.
auxocyte	subst.
ava	subst.
avachi	adj.
avachir	verbe
avachissant	adj.
avachissement	subst.
availler	verbe
aval	adv., prép. et subst.
aval	subst.
avalable	adj.
avalage	subst.
avalaison	subst.
avalanche	subst.
avalant	adj.
avalasse	subst.
avalé	adj.
avalée	subst.
avalement	subst.
avaler	verbe
avaleur	subst.
avaleuse	subst.
avaliser	verbe
avaliseur	subst.
avaloir	subst.
avaloire	subst.
avalure	subst.
avancé	adj.
avance	subst.
avancée	subst.
avancement	subst.
avancer	verbe
avanie	subst.
avaniser	verbe
avant	adv.
avant	prép.
avant	prép. et adv.
avant	subst.
avant-bouche	subst.
avant-centre	subst.
avant-choeur	subst.
avant-corps	subst.
avant-cour	subst.
avant-coureur	subst.
avant-courrier	subst.
avant-courrière	subst.
avant-dernier	adj.
avant-deux	subst.
avant-dîner	subst.
avant-garde	subst.
avant-gardisme	subst.
avant-gardiste	adj.
avant-goût	subst.
avant-guerre	subst.
avant-hier	adv.
avant-main	adv.
avant-main	subst.
avant-midi	subst.
avant-mur	subst.
avant-plan	subst.
avant-port	subst.
avant-poste	subst.
avant-première	subst.
avant-printemps	subst.
avant-projet	subst.
avant-propos	subst.
avant-quart	subst.
avant-scène	subst.
avant-train	subst.
avant-veille	subst.
avantage	subst.
avantager	verbe
avantageusement	adv.
avantageux	adj.
avare	adj.
avare	adj. et subst.
avare	subst.
avarement	adv.
avarice	subst.
avaricieuse	subst.
avaricieusement	adv.
avaricieux	adj.
avaricieux	subst.
avarié	adj.
avarie	subst.
avarier	verbe
avaro	subst.
avatar	subst.
ave	subst.
avé	subst.
avec	prép.
avec	prép. et adv.
aveindre	verbe
aveiniau	subst.
aveinière	subst.
avelanède	subst.
aveline	subst.
avelinier	subst.
avellot	subst.
aven	subst.
avenage	subst.
avénage	subst.
avenant	adj.
avenant	subst.
avènement	subst.
avenier	adj.
avenier	subst.
avenir	subst.
avenir	verbe
avent	subst.
aventage	subst.
aventin	adj.
aventuré	adj.
aventure	subst.
aventurément	adv.
aventurer	verbe
aventureuse	subst.
aventureusement	adv.
aventureux	adj.
aventureux	subst.
aventurier	adj.
aventurier	adj. et subst. masc.
aventurier	subst.
aventurière	subst.
aventuriné	adj.
aventurine	subst.
aventurisme	subst.
avenu	adj.
avenue	subst.
avéré	adj.
avérer	verbe
averne	subst.
averrhoïsme	subst.
averroïsme	subst.
averroïste	adj.
averroïste	subst.
avers	subst.
averse	subst.
aversion	subst.
averti	adj.
avertin	subst.
avertir	verbe
avertissement	subst.
avertisseur	adj.
avertisseur	subst.
avesta	subst.
avestéen	adj.
avette	subst.
aveu	subst.
aveuer	verbe
aveuglant	adj.
aveugle	adj.
aveugle	subst.
aveuglé	subst.
aveuglée	subst.
aveuglément	adv.
aveuglement	subst.
aveugler	verbe
aveulir	verbe
aveulissement	subst.
aveuvé	adj.
avénage	subst.
aviaire	adj.
aviateur	adj.
aviateur	subst.
aviatick	subst.
aviatik	subst.
aviation	subst.
aviatrice	subst.
avicole	adj.
aviculaire	adj.
aviculaire	subst.
avicule	subst.
aviculteur	subst.
aviculture	subst.
avide	adj.
avidement	adv.
avidité	subst.
avignonnais	adj.
avignonnais	subst.
avignonnaise	subst.
avilir	verbe
avilissant	adj.
avilissement	subst.
avilisseur	subst.
avinage	subst.
aviné	adj.
aviner	verbe
avion-stop	subst.
avion-suicide	subst.
avion-taxi	subst.
aviron	subst.
avironner	verbe
avironnier	subst.
avirulent	adj.
avis	subst.
avisé	adj.
avisé	subst.
avisée	subst.
aviser	verbe
aviso	subst.
avisoire	subst.
avitaillement	subst.
avitailler	verbe
avitailleur	subst.
avitailleuse	subst.
avitaminose	subst.
avite	adj.
avivage	subst.
avivé	adj.
avivé	subst.
avivement	subst.
aviver	verbe
aviveur	subst.
aviveuse	subst.
avivoir	subst.
avocaillon	subst.
avocasser	verbe
avocasserie	subst.
avocassier	adj.
avocassier	subst.
avocat	subst.
avocate	subst.
avocatier	subst.
avocette	subst.
avoiné	adj.
avoine	subst.
avoiner	verbe
avoir	subst.
avoir	verbe
avoisinant	adj.
avoisiner	verbe
avolé	adj. et subst.
avorté	adj.
avorté	subst.
avortée	subst.
avortement	subst.
avorter	verbe
avorteur	subst.
avorteuse	subst.
avorton	subst.
avouable	adj.
avoué	adj.
avoué	subst.
avouer	verbe
avouerie	subst. fém.
avoyage	subst.
avoyer	subst.
avoyer	verbe
avril	subst.
avrillé	adj.
avrillé	subst.
avrillée	subst.
avriller	adj.
avrillet	adj.
avrillet	subst.
avuer	verbe
avulsif	adj.
avulsion	subst.
avunculaire	adj.
avunculairement	adv.
avunculat	subst.
axé	adj.
axe	subst.
axer	verbe
axial	adj.
axialement	adv.
axicorne	adj.
axile	adj.
axillaire	adj.
axinite	subst.
axiologie	subst.
axiologique	adj.
axiologiquement	adv.
axiomatique	adj.
axiomatique	subst.
axiomatisation	subst.
axiomatisé	adj.
axiomatiser	verbe
axiome	subst.
axiomètre	subst.
axipète	adj.
axis	subst.
axolotl	subst.
axone	subst.
axonème	subst.
axonge	subst.
aya	subst.
ayam	subst.
ayan	subst.
aye-aye	subst.
aymara	adj.
aymara	subst.
azalaï	subst.
azalaïe	subst.
azalea	subst.
azaléa	subst.
azalée	subst.
azamoglan	subst.
aze	subst.
azédarac	subst.
azédarach	subst.
azerole	subst.
azerolier	subst.
azérolier	subst.
azilien	adj.
azilien	subst.
azilienne	subst.
azimut	subst.
azimutal	adj.
azimuter	verbe
azimuthal	adj.
azobé	subst.
azoïque	adj.
azoospermie	subst.
azor	subst.
azotate	subst.
azoté	adj.
azote	subst.
azotémie	subst.
azotémique	adj.
azoteux	adj.
azoth	subst.
azothydrique	adj.
azotiodique	adj.
azotique	adj.
azoto-ypérite	subst.
azotomercurique	adj.
azotomètre	subst.
azotométrie	subst.
azoturation	subst.
azoture	subst.
aztèque	adj.
aztèque	subst.
azucarillo	subst.
azulejo	subst.
azur	subst.
azurage	subst.
azuré	adj.
azuré	subst.
azurée	subst.
azurement	subst.
azurer	verbe
azurin	adj.
azurine	subst.
azurite	subst.
azurophile	adj.
azurophilie	adj.
azuror	subst.
azygos	adj.
azygos	subst.
azyme	adj.
azyme	subst.
azziminia	subst.
azziministe	adj.
b	subst.
b-fa-si	subst.
baal	subst.
baaras	subst.
baba	adj.
baba	subst.
babbit	subst.
babel	subst.
babélien	adj.
babélique	adj.
babéliquement	adv.
babélisme	subst.
babeurre	subst.
babi	subst.
bâbi	subst.
babiche	subst.
babil	subst.
babilan	subst.
babillage	subst.
babillant	adj.
babillard	adj.
babillard	subst.
babillarde	subst.
babillement	subst.
babiller	verbe
babillerie	subst.
babillet	subst.
babilleur	adj.
babilleur	subst.
babilleuse	subst.
babine	subst.
babiole	subst.
babiroussa	subst.
bâbord	subst.
bâbordais	subst.
babouche	subst.
babouin	subst.
babouine	subst.
babouiner	verbe
babouvisme	subst.
babouviste	adj.
babouviste	subst.
baby	subst.
babylone	subst.
babylonien	adj.
babylonien	subst.
babylonienne	subst.
bac	subst.
bacante	subst.
baccalauréat	subst.
baccara	subst.
baccarat	subst.
baccaris	subst.
bacchanal	subst.
bacchanale	subst.
bacchant	subst.
bacchante	subst.
baccharis	subst.
