form	lemma	POS	morph
sçeu	savoir	VERppe	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
subjet	sujet	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
dont	que	PROrel	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
injuste	injuste	ADJqua	NOMB.=s|GENRE=f
apparence	apparence	NOMcom	NOMB.=s|GENRE=f
Fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
naistre	naître	VERinf	MORPH=empty
tant	tant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
bruits	bruit	NOMcom	NOMB.=p|GENRE=m
contre	contre	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
asseurance	assurance	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
J'	je	PROper	
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sçeu	savoir	VERppe	NOMB.=s|GENRE=m
d'	de	PRE	MORPH=empty
où	que	PROrel	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
soupçon	soupçon	NOMcom	NOMB.=s|GENRE=m
prit	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=f
commencemens	commencement	NOMcom	NOMB.=p|GENRE=f
Et	et	CONcoo	MORPH=empty
coment	comment	ADVgen	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
trompa	tromper	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m
meilleurs	meilleur	ADJqua	NOMB.=p|GENRE=m
jugemens	jugement	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
ORANTE	Orante	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Vostre	votre	DETpos	NOMB.=s|GENRE=m
discours	discours	NOMcom	NOMB.=p|GENRE=m
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
estonne	étonner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
ame	âme	NOMcom	NOMB.=s|GENRE=f
confuse	confus	ADJqua	NOMB.=s|GENRE=f
Par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
yeux	œil	NOMcom	NOMB.=p|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
penser	penser	NOMcom	MORPH=empty
descouvre	découvrir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
quelque	quelque	DETind	NOMB.=s|GENRE=m
ruse	ruse	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
DORILAS	Dorilas	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
amy	ami	NOMcom	NOMB.=s|GENRE=m
poursuivez	poursuivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
achevez	achever	VERcjg	MODE=imp|PERS.=2|NOMB.=p
ce	ce	DETdem	NOMB.=s|GENRE=m
propos	propos	NOMcom	NOMB.=s|GENRE=m
D'	de	PRE	MORPH=empty
où	que	PROrel	MORPH=empty
nos	notre	DETpos	PERS.=1|NOMB.=p|GENRE=m
coeurs	cœur	NOMcom	NOMB.=p|GENRE=m
affligez	affliger	VERppe	NOMB.=p|GENRE=m
esperent	espérer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
repos	repos	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
puisque	puisque	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
discours	discours	NOMcom	NOMB.=p|GENRE=m
en	en	PROadv	MORPH=empty
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
assez	assez	ADVgen	MORPH=empty
capables	capable	ADJqua	NOMB.=p|GENRE=m
Faites	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
deux	deux	DETcar	NOMB.=p|GENRE=x
innocens	innocent	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
deux	deux	DETcar	NOMB.=p|GENRE=x
esprits	esprit	NOMcom	NOMB.=p|GENRE=m
coupables	coupable	ADJqua	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
LISANDRE	Lisandre	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
sçavez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
que	que	CONsub	MORPH=empty
Lisandre	Lisandre	NOMpro	NOMB.=s|GENRE=m
assez	assez	ADVgen	MORPH=empty
cognu	connaître	VERppe	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
tous	tout	PROind	NOMB.=p|GENRE=m
Fit	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tomber	tomber	VERinf	MORPH=empty
Cloridan	Cloridan	NOMpro	NOMB.=s|GENRE=m
soubs	sous	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
effort	effort	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
coups	coup	NOMcom	NOMB.=p|GENRE=m
;	;	PONfbl	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
ne	ne	ADVneg	MORPH=empty
sçavez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
pas	pas	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
laissa	laisser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
espée	épée	NOMcom	NOMB.=s|GENRE=f
Dessus	dessus	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
mesme	même	ADJind	NOMB.=s|GENRE=m
pré	pré	NOMcom	NOMB.=s|GENRE=m
qui	qui	PROrel	MORPH=empty
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
vid	voir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
occupée	occuper	VERppe	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
quelqu'un	quelqu'un	PROind	PERS.=3|NOMB.=s|GENRE=m
depuis	depuis	PRE	MORPH=empty
d'	de	PRE	MORPH=empty
une	un	DETind	NOMB.=s|GENRE=f
rage	rage	NOMcom	NOMB.=s|GENRE=f
enflammé	enflammer	VERppe	NOMB.=s|GENRE=f
En	le	PROper	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
commis	commettre	VERppe	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
mal	mal	NOMcom	NOMB.=s|GENRE=m
dont	que	PROrel	MORPH=empty
Lisandre	Lisandre	NOMpro	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
blasmé	blâmer	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
DORILAS	Dorilas	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
n'	ne	ADVneg	MORPH=empty
en	en	PROadv	MORPH=empty
puis	puis	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
juger	juger	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
ô	oh	INJ	MORPH=empty
deitez	déité	NOMcom	MODE=imp|PERS.=2|NOMB.=p
supremes	suprême	ADJqua	NOMB.=p|GENRE=f
Donnez	donner	VERcjg	MODE=imp|PERS.=2|NOMB.=p
quelque	quelque	DETind	NOMB.=s|GENRE=m
relàche	relâche	NOMcom	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=m
ennuis	ennui	NOMcom	NOMB.=p|GENRE=m
extremes	extrême	ADJqua	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
peur	peur	NOMcom	NOMB.=s|GENRE=f
qu'	que	CONsub	MORPH=empty
en	en	ADVgen	MORPH=empty
lisant	lire	VERppa	NOMB.=x|GENRE=x
ce	ce	DETdem	NOMB.=s|GENRE=m
pitoyable	pitoyable	ADJqua	NOMB.=s|GENRE=m
escrit	écrire	NOMcom	NOMB.=s|GENRE=m
Mais	mais	CONcoo	MORPH=empty
yeux	œil	NOMcom	NOMB.=p|GENRE=m
ne	ne	ADVneg	MORPH=empty
fassent	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
voir	voir	VERinf	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
que	que	PROrel	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dans	dans	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
esprit	esprit	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
retirer	retirer	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
reviens	revenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
tout	tout	ADVgen	MORPH=empty
à	à	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
heure	heure	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Dieux	dieu	NOMcom	NOMB.=p|GENRE=m
que	que	ADVgen	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
instinct	instinct	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fort	fort	ADJqua	MORPH=empty
en	en	ADVgen	MORPH=empty
voulant	vouloir	VERppa	NOMB.=x|GENRE=x
que	que	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
pleure	pleurer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
!	!	PONfrt	MORPH=empty
ORANTE	Orante	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
apres	après	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
leu	lire	VERppe	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
lettre	lettre	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Que	que	ADVgen	MORPH=empty
cét	ce	DETdem	NOMB.=s|GENRE=m
evenement	événement	NOMcom	NOMB.=s|GENRE=m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
troublé	troubler	VERppe	NOMB.=s|GENRE=m
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
raison	raison	NOMcom	NOMB.=s|GENRE=f
!	!	PONfrt	MORPH=empty
Quoy	quoi	PROint	MORPH=empty
Lisandre	Lisandre	NOMpro	NOMB.=s|GENRE=m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tiré	tirer	VERppe	NOMB.=s|GENRE=m
Caliste	Caliste	NOMpro	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
prison	prison	NOMcom	NOMB.=s|GENRE=f
!	!	PONfrt	MORPH=empty
Elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
donq	donc	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
pas	pas	NOMcom	NOMB.=p|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
compagne	compagne	NOMcom	NOMB.=s|GENRE=f
fidelle	fidèle	ADJqua	NOMB.=s|GENRE=f
?	?	PONfrt	MORPH=empty
LISANDRE	Lisandre	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
S'	si	CONsub	
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVgen	MORPH=empty
dans	dans	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
coeur	cœur	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plus	plus	ADVgen	MORPH=empty
avec	avec	PRE	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
quand	quand	CONsub	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
suivroit	suivre	VERcjg	MODE=con|PERS.=3|NOMB.=s
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
pas	pas	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
desseins	dessein	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Pourroit	pouvoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
-elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
montrer	montrer	VERinf	MORPH=empty
des	un	DETind	NOMB.=p|GENRE=m
sentimens	sentiment	NOMcom	NOMB.=p|GENRE=m
plus	plus	ADVgen	MORPH=empty
sains	sain	ADJqua	NOMB.=p|GENRE=m
?	?	PONfrt	MORPH=empty
Puis	puis	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
tousjours	toujours	ADVgen	MORPH=empty
en	en	ADVgen	MORPH=empty
despit	dépit	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
envie	envie	NOMcom	NOMB.=s|GENRE=f
L'	le	DETdef	
appuy	appui	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
honneur	honneur	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
celuy	celui	PROdem	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
ORANTE	Orante	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne	ADVneg	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
appuyra	appuyer	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
pas	pas	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
comme	comme	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ruiné	ruiner	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
LISANDRE	Lisandre	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
à	à	PRE	MORPH=empty
cela	cela	PROdem	NOMB.=s|GENRE=n
toutesfois	toutefois	ADVgen	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
Cieux	cieux	NOMcom	NOMB.=p|GENRE=m
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
destiné	destiner	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
S'	si	CONsub	
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
destruit	détruire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
honneur	honneur	NOMcom	NOMB.=s|GENRE=m
ce	ce	PROdem	NOMB.=s|GENRE=n
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que	ADVgen	MORPH=empty
en	en	ADVgen	MORPH=empty
apparence	apparence	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	ADVgen	MORPH=empty
effect	effet	NOMcom	NOMB.=s|GENRE=m
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
meilleure	meilleur	ADJqua	NOMB.=s|GENRE=f
asseurance	assurance	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
bras	bras	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
tesmoigneront	témoigner	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
un	un	DETind	NOMB.=s|GENRE=m
jour	jour	NOMcom	NOMB.=s|GENRE=m
Que	que	CONsub	MORPH=empty
l'	le	DETdef	
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
accorder	accorder	VERinf	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
honneur	honneur	NOMcom	NOMB.=s|GENRE=m
avec	avec	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
amour	amour	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
si	si	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
plaignez	plaindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
de	de	PRE	MORPH=empty
ce	que	CONsub	NOMB.=s|GENRE=n
qu'	que	PROrel	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
veut	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
suivre	suivre	VERinf	MORPH=empty
Celuy	celui	PROdem	NOMB.=s|GENRE=f
qui	qui	PROrel	MORPH=empty
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
deffend	défendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
qui	qui	PROrel	MORPH=empty
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
fera	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
vivre	vivre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Montrez	montrer	VERcjg	MODE=imp|PERS.=2|NOMB.=p
en	en	ADVgen	MORPH=empty
luy	il	PROper	NOMB.=s|GENRE=m
donnant	donner	VERppa	NOMB.=x|GENRE=x
un	un	DETind	NOMB.=s|GENRE=m
asile	asile	NOMcom	NOMB.=s|GENRE=m
chez	chez	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
Que	que	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
estes	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
mere	mère	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
espoir	espoir	NOMcom	NOMB.=s|GENRE=m
plus	plus	ADVgen	MORPH=empty
doux	doux	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
Ce	ce	PROdem	NOMB.=s|GENRE=n
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
là	là	ADVgen	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
desirs	désir	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
effort	effort	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Lisandre	Lisandre	NOMpro	NOMB.=s|GENRE=m
La	il	PROper	PERS.=3|NOMB.=s|GENRE=f
tira	tirer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
d'	de	PRE	MORPH=empty
un	un	DETind	NOMB.=s|GENRE=m
enfer	enfer	NOMcom	NOMB.=s|GENRE=m
affin	à_fin	PRE.NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
rendre	rendre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Voudriez	vouloir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
laisser	laisser	VERinf	MORPH=empty
perdre	perdre	VERinf	MORPH=empty
un	un	DETind	NOMB.=s|GENRE=m
bien	bien	NOMcom	NOMB.=s|GENRE=m
si	si	ADVgen	MORPH=empty
pretieux	précieux	ADJqua	NOMB.=s|GENRE=m
Qu'	que	CONsub	
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rendre	rendre	VERinf	MORPH=empty
des	un	DETind	NOMB.=p|GENRE=m
Rois	roi	NOMcom	NOMB.=p|GENRE=m
jaloux	jaloux	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
glorieux	glorieux	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
pieté	piété	NOMcom	NOMB.=s|GENRE=f
laissast	laisser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
vostre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=m
exemple	exemple	NOMcom	NOMB.=s|GENRE=m
Outrager	outrager	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
vertus	vertu	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
destruire	détruire	VERinf	MORPH=empty
leur	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
temple	temple	NOMcom	NOMB.=s|GENRE=m
?	?	PONfrt	MORPH=empty
Non	non	ADVneg	MORPH=empty
,	,	PONfbl	MORPH=empty
non	non	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
si	si	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
nature	nature	NOMcom	NOMB.=s|GENRE=f
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m
voir	voir	VERinf	MORPH=empty
en	en	ADVgen	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
corps	corps	NOMcom	NOMB.=s|GENRE=m
La	le	DETdef	NOMB.=s|GENRE=f
parfaite	parfait	ADJqua	NOMB.=s|GENRE=f
union	union	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
plus	plus	ADVgen	MORPH=empty
beaux	beau	ADJqua	NOMB.=p|GENRE=m
tresors	trésor	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m
Ciel	ciel	NOMcom	NOMB.=s|GENRE=m
qui	qui	PROrel	MORPH=empty
ne	ne	ADVneg	MORPH=empty
veut	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
injure	injure	NOMcom	NOMB.=s|GENRE=f
l'	le	DETdef	NOMB.=s|GENRE=f
offence	offense	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
A	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m
naistre	naître	VERinf	MORPH=empty
icy	ici	ADVgen	MORPH=empty
bas	bas	ADVgen	MORPH=empty
Lisandre	Lisandre	NOMpro	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
deffence	défense	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
ORANTE	Orante	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
croy	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
que	que	CONsub	MORPH=empty
c'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Lisandre	Lisandre	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
LISANDRE	Lisandre	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Ouy	oui	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
Madame	monsieur	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
