form	lemma	POS	morph
pleine	plein	ADJqua	NOMB.=s|GENRE=f
assurance	assurance	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Que	que	CONsub	MORPH=empty
déjà	déjà	ADVgen	MORPH=empty
pour	pour	PRE	MORPH=empty
Elvire	Elvire	NOMpro	NOMB.=s|GENRE=f
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
sait	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ce	ce	PROdem	NOMB.=s|GENRE=n
que	que	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
pense	penser	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
.	.	PONfrt	MORPH=empty
Pour	pour	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
dessein	dessein	NOMcom	NOMB.=s|GENRE=m
secret	secret	ADJqua	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
ces	ce	DETdem	NOMB.=p|GENRE=x
lieux	lieu	NOMcom	NOMB.=p|GENRE=m
appelé	appeler	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Depuis	depuis	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
arrivée	arrivée	NOMcom	NOMB.=s|GENRE=f
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne	ADVneg	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
point	point	ADVneg	MORPH=empty
parlé	parler	VERppe	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
précaution	précaution	NOMcom	NOMB.=s|GENRE=f
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
puis	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ici	ici	ADVgen	MORPH=empty
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
dire	dire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Qu'	que	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
devoirs	devoir	NOMcom	NOMB.=p|GENRE=m
si	si	ADVgen	MORPH=empty
saints	saint	ADJqua	NOMB.=p|GENRE=m
dont	dont	PROrel	NOMB.=x|GENRE=x|CAS=i
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne	ADVneg	MORPH=empty
s'	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
ose	oser	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
rire	rire	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Que	que	CONsub	MORPH=empty
c'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m
endurci	endurci	NOMcom	NOMB.=s|GENRE=m
dans	dans	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
fange	fange	NOMcom	NOMB.=s|GENRE=f
plongé	plonger	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Un	un	DETndf	NOMB.=s|GENRE=m
chien	chien	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
hérétique	hérétique	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
turc	Turc	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
enragé	enragé	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
Qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ni	ni	CONcoo	MORPH=empty
foi	foi	NOMcom	NOMB.=s|GENRE=f
ni	ni	CONcoo	MORPH=empty
loi	loi	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
ce	ce	PROdem	NOMB.=s|GENRE=n
qui	qui	PROrel	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
tente	tenter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
...	…	PONfrt	MORPH=empty
Quoi	quoi	PROint	NOMB.=s|GENRE=n
,	,	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
Ciel	ciel	NOMcom	NOMB.=s|GENRE=m
ni	ni	CONcoo	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=x
Enfer	enfer	NOMcom	NOMB.=s|GENRE=m
n'	ne	ADVneg	MORPH=empty
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
rien	rien	PROind	NOMB.=s|GENRE=x
qui	qui	PROrel	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
épouvante	épouvanter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
?	?	PONfrt	MORPH=empty
Bon	bon	INJ	MORPH=empty
,	,	PONfbl	MORPH=empty
parlez	parler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
-lui	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=i
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Ciel	ciel	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
répond	répondre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
d'	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
soeuris	souris	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Parlez	parler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
-lui	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=i
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=x
Enfer	enfer	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
met	mettre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
Diable	diable	NOMcom	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
pis	pis	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
parce	parce	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
jeune	jeune	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
croit	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	PRE	MORPH=empty
âge	âge	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Où	où	PROrel	NOMB.=x|GENRE=x|CAS=i
la	le	DETdef	NOMB.=s|GENRE=f
vertu	vertu	NOMcom	NOMB.=s|GENRE=f
sied	seoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
moins	moins	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
libertinage	libertinage	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Remontrance	remontrance	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
reproche	reproche	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
autant	autant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
temps	temps	NOMcom	NOMB.=s|GENRE=m
perdu	perdre	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
cherche	chercher	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avec	avec	PRE	MORPH=empty
ardeur	ardeur	NOMcom	NOMB.=s|GENRE=f
ce	ce	PROdem	NOMB.=s|GENRE=n
qu'	que	PROrel	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
voit	voir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
défendu	défendre	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
ne	ne	ADVneg	MORPH=empty
refusant	refuser	VERppa	NOMB.=x|GENRE=x
rien	rien	PROind	NOMB.=s|GENRE=x
à	à	PRE	MORPH=empty
Madame	madame	NOMcom	NOMB.=s|GENRE=f
Nature	nature	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ce	ce	PROdem	NOMB.=s|GENRE=n
qu'	que	PROrel	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
appelle	appeler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m
Pourceau	pourceau	NOMcom	NOMB.=s|GENRE=m
d'	de	PRE	MORPH=empty
Épicure	Épicure	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Ainsi	ainsi	ADVgen	MORPH=empty
ne	ne	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
dis	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
point	point	ADVneg	MORPH=empty
,	,	PONfbl	MORPH=empty
sur	sur	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
légèreté	légèreté	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Qu'	que	CONsub	MORPH=empty
Elvire	Elvire	NOMpro	NOMB.=s|GENRE=f
par	par	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=x
hymen	hymen	NOMcom	NOMB.=s|GENRE=m
se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
trouve	trouver	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
en	en	PRE	MORPH=empty
sûreté	sûreté	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
peu	peu	PROind	MORPH=empty
pour	pour	PRE	MORPH=empty
bon	bon	ADJqua	NOMB.=s|GENRE=m
contrat	contrat	NOMcom	NOMB.=s|GENRE=m
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
en	en	PROadv	MORPH=empty
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
femme	femme	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Pour	pour	PRE	MORPH=empty
en	en	PROadv	MORPH=empty
venir	venir	VERinf	MORPH=empty
à	à	PRE	MORPH=empty
bout	bout	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
contenter	contenter	VERinf	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
flamme	flamme	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Avec	avec	PRE	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
besoin	besoin	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
même	même	ADJind	NOMB.=s|GENRE=x
contrat	contrat	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
aurait	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
épousé	épouser	VERppe	NOMB.=s|GENRE=m
toi	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=i
,	,	PONfbl	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
chien	chien	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
chat	chat	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m
piège	piège	NOMcom	NOMB.=s|GENRE=m
qu'	que	PROrel	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
tend	tendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
partout	partout	ADVgen	MORPH=empty
à	à	PRE	MORPH=empty
chaque	chaque	DETind	NOMB.=s|GENRE=x
belle	beau	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
Paysanne	paysan	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
bourgeoise	bourgeois	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
dame	dame	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
demoiselle	demoiselle	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Tout	tout	ADVgen	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
charme	charmer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
d'	de	PRE	MORPH=empty
abord	abord	NOMcom	NOMB.=s|GENRE=m
pour	pour	PRE	MORPH=empty
leur	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=i
donner	donner	VERinf	MORPH=empty
leçon	leçon	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Un	un	DETndf	NOMB.=s|GENRE=m
mariage	mariage	NOMcom	NOMB.=s|GENRE=m
fait	faire	VERppe	NOMB.=s|GENRE=m
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=i
semble	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
une	un	DETndf	NOMB.=s|GENRE=f
chanson	chanson	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Toujours	toujours	ADVgen	MORPH=empty
objets	objet	NOMcom	NOMB.=p|GENRE=m
nouveaux	nouveau	ADJqua	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
toujours	toujours	ADVgen	MORPH=empty
nouvelles	nouveau	ADJqua	NOMB.=p|GENRE=f
flammes	flamme	NOMcom	NOMB.=p|GENRE=f
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
si	si	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
disais	dire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
combien	combien	ADVsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
femmes	femme	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
Tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
serais	être	VERcjg	MODE=con|PERS.=2|NOMB.=s
convaincu	convaincre	VERppe	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
en	en	PRE	MORPH=empty
vain	vain	NOMcom	NOMB.=s|GENRE=m
Qu'	que	CONsub	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
croit	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s|GENRE=x
épouseur	épouseur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
genre	genre	NOMcom	NOMB.=s|GENRE=m
humain	humain	ADJqua	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Quel	quel	DETint	NOMB.=s|GENRE=m
abominable	abominable	ADJqua	NOMB.=s|GENRE=m
homme	homme	NOMcom	NOMB.=s|GENRE=m
!	!	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
plus	plus	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
abominable	abominable	ADJqua	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
moque	moquer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
tout	tout	PROind	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
craint	craindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ni	ni	CONcoo	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
ni	ni	CONcoo	MORPH=empty
Diable	diable	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ne	ne	ADVneg	MORPH=empty
doute	douter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
point	point	ADVneg	MORPH=empty
,	,	PONfbl	MORPH=empty
comme	comme	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sans	sans	PRE	MORPH=empty
retour	retour	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne	ADVneg	MORPH=empty
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
foudre	foudre	NOMcom	NOMB.=s|GENRE=f
écrasé	écraser	VERppe	NOMB.=s|GENRE=m
quelque	quelque	DETind	NOMB.=s|GENRE=m
jour	jour	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mérite	mériter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bien	bien	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
s'	si	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tout	tout	PROind	NOMB.=s|GENRE=m
dire	dire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Depuis	depuis	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
en	en	PRE	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
servant	servir	VERppa	NOMB.=x|GENRE=x
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
souffre	souffrir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
martyre	martyre	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
J'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
en	en	PROadv	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
vu	voir	VERppe	NOMB.=s|GENRE=m
tant	tant	ADVgen	MORPH=empty
d'	de	PRE	MORPH=empty
horreurs	horreur	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
avoue	avouer	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
aujourd'hui	aujourd'hui	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
Qu'	que	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
vaudrait	valoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
mieux	mieux	ADVgen	MORPH=empty
cent	cent	DETcar	NOMB.=p|GENRE=x
fois	fois	NOMcom	NOMB.=p|GENRE=f
être	être	VERinf	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
Diable	diable	NOMcom	NOMB.=s|GENRE=m
qu'	que	CONsub	MORPH=empty
à	à	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=i
.	.	PONfrt	MORPH=empty
Que	que	CONsub	MORPH=empty
ne	ne	ADVneg	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
quittes	quitter	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s
-tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
?	?	PONfrt	MORPH=empty
Le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
quitter	quitter	VERinf	MORPH=empty
!	!	PONfrt	MORPH=empty
Comment	comment	ADVint	MORPH=empty
faire	faire	VERinf	MORPH=empty
?	?	PONfrt	MORPH=empty
Un	un	DETndf	NOMB.=s|GENRE=m
grand	grand	ADJqua	NOMB.=s|GENRE=m
Seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
méchant	méchant	ADJqua	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
une	un	DETndf	NOMB.=s|GENRE=f
étrange	étrange	ADJqua	NOMB.=s|GENRE=f
affaire	affaire	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Vois	voir	VERcjg	MODE=imp|PERS.=2|NOMB.=s
-tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
,	,	PONfbl	MORPH=empty
si	si	CONsub	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
avais	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
fui	fuir	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
aurais	avoir	VERcjg	MODE=con|PERS.=1|NOMB.=s
beau	beau	ADVgen	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
cacher	cacher	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Jusque	jusque	PRE	MORPH=empty
dans	dans	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=x
Enfer	enfer	NOMcom	NOMB.=s|GENRE=m
même	même	ADJind	NOMB.=s|GENRE=x
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
viendrait	venir	VERcjg	MODE=con|PERS.=3|NOMB.=s
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
chercher	chercher	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f
crainte	crainte	NOMcom	NOMB.=s|GENRE=f
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
retient	retenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
qui	qui	PROrel	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
désole	désoler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avec	avec	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=i
faire	faire	VERinf	MORPH=empty
souvent	souvent	ADVgen	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=x
idole	idole	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Louer	louer	VERinf	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
qu'	que	PROrel	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
déteste	détester	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
peur	peur	NOMcom	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
bâton	bâton	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Approuver	approuver	VERinf	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
qu'	que	PROrel	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
